time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
45,0.027063999325037003,1073,0.0,48800,488,282.8267,100.0,,,,,,,,,,,,
45,0.02708224393427372,1085,0.0,49600,492,282.18387,100.0,96.03999999999999,0.22294902871362865,6080,-38.13254106044769,0.17082757339812815,96.03999999999999,-15.782579243183136,0.0003,0.060078160371631384,0.02998201534501277,0.038066621869802475,29.02146789431572
45,0.02708224393427372,1085,0.0,49600,496,282.18387,100.0,,,,,,,,,,,,
45,0.027118762955069542,1108,0.0,50400,500,283.0218,100.0,96.03999999999999,0.22435801848769188,6208,-38.67151087522507,0.17789975623600185,96.03999999999999,-15.395782813429832,0.0003,0.05864405271131545,0.029295545595232397,0.03680297266691923,29.19549486041069
45,0.027118762955069542,1108,0.0,50400,504,283.0218,100.0,,,,,,,,,,,,
45,0.02713697776198387,1120,0.0,51200,508,283.1139,100.0,96.03999999999999,0.22446016990579665,6272,-40.15545618534088,0.16840921086259186,96.03999999999999,-14.71565743535757,0.0003,0.05962706194259226,0.02862037267186679,0.036226346099283546,29.173467844724655
45,0.02713697776198387,1120,0.0,51200,512,283.1139,100.0,,,,,,,,,,,,
45,0.027173656970262527,1142,0.0,52000,516,282.37964,100.0,96.03999999999999,0.2181312635075301,6400,-42.126294791698456,0.15944004361517727,96.03999999999999,-14.691967062652111,0.0003,0.05755389464320615,0.02763492739177309,0.03516759176272899,28.384885281324387
45,0.027173656970262527,1142,0.0,52000,520,282.37964,100.0,,,,,,,,,,,,
45,0.027206771075725555,1165,0.0,52800,524,282.1204,100.0,96.03999999999999,0.21715357596985996,6528,-42.13315188884735,0.16838024510070682,96.03999999999999,-15.373820446431637,0.0003,0.054839167336467654,0.029514697031117976,0.034029086760710925,28.063751697540283
45,0.027206771075725555,1165,0.0,52800,528,282.1204,100.0,,,,,,,,,,,,
45,0.02722349390387535,1177,0.0,53600,532,283.8962,100.0,96.03999999999999,0.22073383629322052,6592,-42.84785461425781,0.16556308208964765,96.03999999999999,-15.04317332804203,0.0003,0.05970163969323039,0.030790923454333097,0.03347722056787461,28.828319042921066
45,0.02722349390387535,1177,0.0,53600,536,283.8962,100.0,,,,,,,,,,,,
45,0.027259577065706253,1199,0.0,54400,540,284.87936,100.0,96.03999999999999,0.21869673090986907,6720,-43.55156171321869,0.16921217017807066,96.03999999999999,-14.844972260296345,0.0003,0.05994059093063697,0.029795200389344245,0.03243362426292151,28.678916037082672
45,0.027259577065706253,1199,0.0,54400,544,284.87936,100.0,,,,,,,,,,,,
45,0.027278438210487366,1212,0.0,55200,548,284.6081,100.0,96.03999999999999,0.2185240127146244,6784,-44.82754188776016,0.16175246192142367,96.03999999999999,-16.03105866909027,0.0003,0.060111008351668715,0.029783362813759595,0.031898962100967765,28.647498697042465
45,0.027278438210487366,1212,0.0,55200,552,284.6081,100.0,,,,,,,,,,,,
45,0.027312370017170906,1234,0.0,56000,556,288.37186,100.0,96.03999999999999,0.2145230546593666,6912,-46.414333403110504,0.15620895591564476,96.03999999999999,-12.788098722696304,0.0003,0.056760654959362,0.028907160129165277,0.030920698045520112,28.10922372341156
45,0.027312370017170906,1234,0.0,56000,560,288.37186,100.0,,,,,,,,,,,,
45,0.02732779085636139,1246,0.0,56800,564,290.54224,100.0,96.03999999999999,0.2139584633987397,6976,-47.10205388069153,0.1571344833355397,96.03999999999999,-16.750333331525326,0.0003,0.05745385045884177,0.027491280750837177,0.030449980142293498,28.029955744743347
45,0.02732779085636139,1246,0.0,56800,568,290.54224,100.0,,,,,,,,,,,,
45,0.027359697967767715,1268,0.0,57600,572,289.24057,100.0,96.03999999999999,0.21847390104085207,7104,-46.40967357158661,0.17142153694294393,96.03999999999999,-15.22896260023117,0.0003,0.0554292329470627,0.029499068128643557,0.02945137079223059,28.076134204864502
45,0.027359697967767715,1268,0.0,57600,576,289.24057,100.0,,,,,,,,,,,,
45,0.027394063770771027,1290,0.0,58400,580,289.12405,100.0,96.03999999999999,0.21587588521651924,7232,-49.388785898685455,0.15494145499542356,96.03999999999999,-15.048681028187275,0.0003,0.05717943544732407,0.026057623064843938,0.02850107548874803,28.048093557357788
45,0.027394063770771027,1290,0.0,58400,584,289.12405,100.0,,,,,,,,,,,,
45,0.027411065995693207,1303,0.0,59200,588,290.21536,100.0,96.03999999999999,0.21282783802598715,7296,-49.63255399465561,0.15892138425260782,96.03999999999999,-15.53142163157463,0.0003,0.05301782820606604,0.025457175841438584,0.02802597003756091,27.36295622587204
45,0.027411065995693207,1303,0.0,59200,592,290.21536,100.0,,,,,,,,,,,,
45,0.02744549699127674,1325,0.0,60000,596,291.24118,100.0,96.03999999999999,0.21272816671989858,7424,-50.73271095752716,0.1557417551521212,96.03999999999999,-13.53822373598814,0.0003,0.054157174890860915,0.02585053237271495,0.027168974513188004,27.56164762377739
45,0.02744549699127674,1325,0.0,60000,600,291.24118,100.0,,,,,,,,,,,,
45,0.027462059631943703,1337,0.0,60800,604,293.12656,100.0,94.11919999999999,0.21115789143368602,7488,-51.84294909238815,0.15457498840987682,94.11919999999999,-15.490001261234283,0.0003,0.052862637385260314,0.02409882823121734,0.026745155279058963,26.85885962843895
45,0.027462059631943703,1337,0.0,60800,608,293.12656,100.0,,,,,,,,,,,,
45,0.027497535571455956,1359,0.0,61600,612,292.56992,100.0,94.11919999999999,0.21054283482953906,7616,-53.37467306852341,0.1501755982171744,94.11919999999999,-13.541918337345123,0.0003,0.053466619399841875,0.023179367228294723,0.025891983095789328,26.941915899515152
45,0.027497535571455956,1359,0.0,61600,616,292.56992,100.0,,,,,,,,,,,,
